height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb
10000,0.05397796630859375,58820.29681978799,19992,0,95.11328125
80000,0.5130436420440674,52463.0815872147,159998,0,120.37890625
90000,0.6529011726379395,24953.965547514937,179998,0,123.98828125
110000,0.877439022064209,30435.848644056998,219998,0,131.46484375
130000,1.1195220947265625,28527.397327082737,259994,0,138.68359375
140000,1.3166546821594238,17724.111703195562,279998,0,142.29296875
170000,1.6577458381652832,30000.77785606442,340000,0,153.12109375
180000,1.8747308254241943,15420.421671880375,360000,45018691,160.13671875
200000,2.1519174575805664,24348.216028659775,399996,45696360,161.640625
240000,3.998433828353882,7185.963910215962,527945,45696360,219.43359375
270000,5.431766986846924,6935.582241362246,680718,89033612,237.4765625
300000,8.39952564239502,3388.078737872642,1079253,314176570,256.71484375
400000,16.437531232833862,4304.425968694933,2214984,712885160,256.71484375
430000,19.234827756881714,3811.8947735186885,2525772,409224564,261.78515625
490000,25.155200719833374,3621.224563749676,3217070,646521224,316.69140625
570000,39.36148190498352,2017.5582635912097,4878846,1093484491,331.91015625
610000,48.525859117507935,1563.8815019981173,6002781,1041404949,332.1796875
620000,52.19812321662903,990.1248662562768,6311162,1101063951,339.4609375
640000,58.2852509021759,1182.6596010287622,6968954,1468579357,346.29296875
650000,63.265568017959595,723.2471178561082,7315505,1811045031,346.29296875
670000,70.07019138336182,1050.9031310033872,7937059,1575712012,356.28515625
680000,75.13737416267395,712.6247773699197,8289596,1738483951,356.76953125
720000,91.37159943580627,883.9350051245918,9860454,2025265573,369.3984375
730000,97.84521913528442,556.5665218626366,10271585,2336952804,369.3984375
770000,120.65961623191833,632.9336663527484,12057767,2633732486,375.01953125
820000,147.8613884449005,661.5010176216488,14298943,2779873438,382.8671875
840000,163.77047991752625,454.20569819675427,15245760,2957371427,388.83984375
850000,172.48993515968323,410.2320501292162,15646859,3288275575,388.83984375
860000,182.1931221485138,379.35989528360477,16050288,3785515171,388.83984375
880000,195.35567808151245,549.2854151429905,16830468,3217862653,388.83984375
890000,203.8609104156494,423.7391594271719,17231792,3560615207,388.83984375
980000,258.5864589214325,591.4056758440686,21248533,5534885062,410.80859375
990000,270.0554325580597,316.24451454111374,21675711,5073549723,417.40234375
1030000,300.8109986782074,470.90663015018646,23423282,4520473457,439.64453125
1060000,332.24396657943726,343.7791822253348,25217580,5517585135,490.3984375
1100000,394.0778923034668,232.17028244449722,27691741,6042635578,574.11328125
1120000,416.2551021575928,326.05544374441234,28365416,8025951933,574.11328125
1150000,439.1808090209961,472.87527772178163,29322844,5681985064,574.11328125
1170000,455.960040807724,432.7969296987793,30029776,6031996582,574.11328125
1180000,468.8236434459686,279.315219930511,30347059,6057480220,574.11328125
1230000,496.33793473243713,658.0580183398912,31950931,6180641875,574.11328125
1260000,516.7660396099091,531.7184371800731,32845390,6662935948,574.11328125
1270000,529.3101720809937,286.1895797318218,33132731,6424289997,574.11328125
1310000,576.041454076767,311.84678394481193,35919749,7005497536,620.0859375
1330000,600.7761874198914,288.7437637157827,36950493,8027239704,620.0859375
1340000,618.6649687290192,200.96394147127506,37601926,7742128281,620.0859375
1360000,643.0360987186432,296.0470032810041,38600085,7425100630,620.0859375
1380000,664.061065196991,342.5926984196571,39235533,8360794564,620.0859375
1420000,697.591837644577,431.51406734268807,40427801,7700477238,620.0859375
1470000,733.2801880836487,504.8426104972048,41839073,8054648492,620.0859375
1490000,751.3301725387573,401.1637803904367,42330014,8593089694,620.0859375
1500000,767.3081035614014,229.31629851245145,42577620,8304609763,620.0859375
1600000,1043.9076843261719,130.88956931857786,65118984,14664706979,703.25390625
1610000,1160.6751959323883,30.88187759075295,69363129,15489488290,703.25390625
1640000,1313.212879896164,71.00540481899624,76438852,14681779444,703.25390625
1680000,1652.7188959121704,42.641365151295176,91857516,16714652615,703.25390625
1690000,1779.6203482151031,28.667914621777143,92204008,16502226324,703.25390625
1740000,2178.45645236969,45.271728943078806,111945146,19862278329,761.29296875
1750000,2351.1788852214813,20.900585641343106,115826287,21535917131,761.29296875
