height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb
10000,0.0585176944732666,54257.09315069609,19992,0,1318.1875
80000,0.4583158493041992,60240.39808333955,159998,0,1318.1875
90000,0.5672183036804199,32047.02795717757,179998,0,1318.1875
110000,0.7453391551971436,38367.2093514462,219998,0,1318.1875
130000,0.9792630672454834,29522.42008748935,259994,0,1318.1875
140000,1.1465954780578613,20880.59320389318,279998,0,1318.1875
170000,1.4593136310577393,32722.75658395819,340000,0,1318.1875
180000,1.6568422317504883,16939.31910753837,360000,45018691,1318.1875
200000,1.9192488193511963,25719.628694191328,399996,45696360,1318.1875
240000,3.5502195358276367,8135.645763564923,340730,45696360,1318.1875
270000,4.713657855987549,8544.50109450893,381666,79962727,1318.1875
300000,7.095722675323486,4221.127787279564,558227,124387266,1318.1875
400000,13.367421627044678,5516.6869880616205,1115890,270884722,1318.1875
430000,15.575717210769653,4828.610842944106,1294096,287442300,1318.1875
490000,20.483322381973267,4368.5258394048815,1619259,439494531,1318.1875
570000,32.37913131713867,2409.4200029786766,2337329,868586213,1318.1875
610000,54.92824149131775,635.5904906798288,3039128,813696770,1318.1875
620000,60.134093284606934,698.444777987559,3240076,870241681,1318.1875
640000,72.12704181671143,600.2693983659361,3678861,1010473976,1318.1875
650000,75.77676510810852,986.9241343557236,3889403,1092329263,1318.1875
670000,81.35127973556519,1282.8022667262417,4279100,1110234409,1318.1875
680000,85.01053643226624,986.8124319497578,4516452,1168964104,1318.1875
720000,101.2096848487854,885.8490354571055,5491973,1500860049,1318.1875
730000,106.23179697990417,717.4272309999898,5753301,1602867303,1318.1875
770000,125.46282172203064,750.8700234974219,6809929,2129723238,1318.1875
820000,149.09056949615479,761.5622179489352,7985405,2229257677,1318.1875
840000,161.76802158355713,569.9883501970019,8394920,2462130665,1318.1875
850000,168.390864610672,540.1003746208766,8629420,2727369616,1318.1875
860000,175.42302989959717,523.4518599551606,8845449,2506758701,1318.1875
880000,187.52135491371155,597.6033865485675,9267699,3101113079,1318.1875
890000,194.5361316204071,513.7725904461088,9513225,2635420345,1318.1875
980000,237.45429468154907,754.1096284547932,11722651,3186717676,1318.1875
990000,245.3586094379425,458.86330590090535,11970038,3529599037,1318.1875
1030000,267.78734946250916,645.7339995085091,12843434,3805089429,1318.1875
1060000,289.43897557258606,499.084916073383,13949984,3963212838,1318.1875
1100000,330.100204706192,353.0636015165356,14262367,4715572444,1318.1875
1120000,345.6490693092346,465.0500332085365,14464395,5389506294,1318.1875
1150000,363.36784076690674,611.8370015606197,14876190,4550145681,1318.1875
1170000,376.0796437263489,571.2800948197435,15224226,4541505742,1318.1875
1180000,385.0234320163727,401.7313339144835,15364930,4578774942,1318.1875
1230000,408.5120759010315,770.8405853019726,16019173,4765233452,1318.1875
1260000,423.43514132499695,727.8665402455683,16477336,5414670015,1318.1875
1270000,432.5442352294922,394.1116468486919,16647096,4897314064,1318.1875
1310000,470.10971784591675,387.9359184281669,17891902,5664746696,1318.1875
1330000,486.769376039505,428.7002720589259,18412433,5348133067,1318.1875
1340000,497.6852505207062,329.33687595905826,18919446,5710336102,1318.1875
1360000,518.0295610427856,354.6446065188415,19229031,5912671932,1318.1875
1380000,533.3282573223114,470.82443290542176,19527183,6331736575,1318.1875
1420000,557.6379773616791,595.1940201930995,19710217,5943792458,1318.1875
1470000,582.2689056396484,731.4787244991876,20169501,6483579302,1318.1875
1490000,594.9016115665436,573.1946933541648,20401167,6365560390,1318.1875
1500000,605.036235332489,361.53290784329323,20477312,6168951734,1318.1875
1600000,814.1060330867767,173.1670494202576,39774592,11342415533,1318.1875
1610000,890.7278439998627,47.062317596361396,43775791,11448768626,1318.1875
1640000,1010.5659773349762,90.38024624192332,50306914,14115532040,1318.1875
1680000,1271.7204778194427,55.43461810209582,64830100,14529551498,1318.1875
1690000,1373.0578827857971,35.89987331141817,65005006,14016391178,1318.1875
1740000,1714.0137357711792,52.95700262043638,83800453,17306460685,1318.1875
1750000,1840.2323651313782,28.601166232742784,87496325,17848179765,1318.1875
1760000,1996.8473834991455,22.928835544797646,90466661,18156117791,1318.1875
1830000,2440.759252309799,57.063128471576626,114155593,22373295657,1318.1875
1840000,2631.9663331508636,19.183389986738632,118517553,22703945490,1318.1875
1880000,2923.8246030807495,49.27049010279735,129346388,24591803201,1318.1875
1910000,3211.3992018699646,37.597201023741746,140456349,26389907081,1318.1875
1930000,3470.340091943741,28.006391721036387,148024390,27700195621,1318.1875
