height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb
10000,0.09018683433532715,35204.69504667289,19992,0,893.51171875
80000,0.776602029800415,35086.635842438816,159998,0,893.51171875
90000,0.9281346797943115,23031.340111458303,179998,0,893.51171875
110000,1.2081356048583984,24407.062221083113,219998,0,893.51171875
130000,1.5011687278747559,23567.30163782372,259994,0,893.51171875
140000,1.7034358978271484,17274.182462840505,279998,0,893.51171875
170000,2.1333935260772705,23800.019647626974,340000,41872532,893.51171875
180000,2.361961841583252,14638.949377532766,360000,43097209,893.51171875
200000,2.6698062419891357,21923.413227921774,399996,43097209,893.51171875
240000,4.504678010940552,7231.5680171933245,340730,75291535,893.51171875
270000,6.069659233093262,6352.152894413428,381666,75291535,893.51171875
300000,9.325783252716064,3088.02734152761,558227,112920615,893.51171875
400000,18.292152881622314,3858.752363772506,1115890,524681158,893.51171875
430000,21.22847557067871,3631.4128688038077,1294096,573161083,893.51171875
490000,32.16617250442505,1960.1018504959432,1619259,428429430,893.51171875
570000,64.45878267288208,887.5714861846826,2337329,836943251,893.51171875
610000,75.10389280319214,1346.3458643976053,3039128,872592961,893.51171875
620000,78.68799304962158,1014.4805529985553,3240076,924018856,893.51171875
640000,84.93035960197449,1153.2485219546288,3678861,1143522296,893.51171875
650000,89.26033329963684,831.875722927516,3889403,1204037558,893.51171875
670000,95.7905695438385,1095.0599231918338,4279100,1428532493,893.51171875
680000,100.35726475715637,790.7249841130686,4516452,1602854277,893.51171875
720000,114.91237735748291,985.9078657816816,5491973,1714179031,893.51171875
730000,120.40940952301025,655.4445911004334,5753301,1613685741,893.51171875
770000,139.0895664691925,773.012777226755,6809929,1930029823,893.51171875
820000,167.27307152748108,638.4585580390076,7985405,2581881501,893.51171875
840000,182.34310841560364,479.4945130953971,8394920,2253683138,893.51171875
850000,188.46367979049683,584.4225613760485,8629420,2257995529,893.51171875
860000,195.15054893493652,550.4818354432501,8845449,2593100179,893.51171875
880000,205.65283179283142,688.4217553296025,9267699,2573161650,893.51171875
890000,212.43126845359802,531.686018526934,9513225,2397408089,893.51171875
