height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb
10000,0.08840751647949219,35913.235960389204,19992,0,91.79296875
80000,0.7879455089569092,34428.437424401214,159998,0,118.86328125
90000,0.9614064693450928,20119.800975330836,179998,0,122.73046875
110000,1.2557203769683838,23220.105550524044,219998,0,130.46484375
130000,1.5658795833587646,22265.984235553486,259994,0,138.19921875
140000,1.7942464351654053,15299.943806898857,279998,0,142.06640625
170000,2.243206024169922,22792.69727302128,340000,41865705,156.5546875
180000,2.4852046966552734,13826.522127730006,360000,43096755,157.84375
200000,2.794229030609131,21839.7040571172,399996,43096755,157.84375
240000,4.842864990234375,6476.992624120145,527945,83524789,203.94921875
270000,6.631298065185547,5558.497066081945,680718,83524789,203.94921875
300000,10.181194305419922,2832.4771541311693,1079253,149454162,209.609375
400000,19.459477186203003,3729.0305161594583,2214984,365424173,216.34765625
430000,22.38506507873535,3644.7375336825903,2525772,415597610,216.60546875
490000,29.541966915130615,2995.569939352171,3217070,730685969,227.921875
570000,46.59043788909912,1681.2064873010793,4878846,1092832696,268.3125
610000,56.888370752334595,1391.7356221233972,6002781,1206595809,268.3125
620000,61.10835576057434,861.6144353357929,6311162,1478304876,268.3125
640000,68.11313319206238,1027.7271577022404,6968954,1412014286,274.54296875
650000,73.27381634712219,697.9696082423512,7315505,1745150916,274.54296875
670000,80.86460399627686,942.0629756118076,7937059,1426005433,274.54296875
680000,86.45978999137878,645.3762221954906,8289596,1595805792,274.54296875
720000,104.05392265319824,815.6128111470103,9860454,2063972106,290.72265625
730000,111.21168160438538,503.3698430711239,10271585,1932000372,290.72265625
770000,136.33617544174194,574.7379467016272,12057767,2321912343,296.671875
820000,167.12952828407288,584.3468911012526,14298943,2795932570,296.671875
840000,184.24483013153076,422.19530011229506,15245760,2983716468,296.671875
850000,192.42337131500244,437.3640628268637,15646859,2952727820,296.671875
860000,201.4641535282135,407.1550351717411,16050288,3358657286,296.671875
880000,215.25654363632202,524.2021102455257,16830468,3808596039,300.375
890000,224.17121076583862,404.2775739844621,17231792,3247980836,301.52734375
980000,287.93410634994507,507.583598635494,21248533,4348978287,308.484375
990000,301.41936230659485,268.96041214638365,21675711,5197586980,308.484375
1030000,330.9660110473633,490.17403384961125,23423282,4443377584,308.484375
1060000,361.5105559825897,353.77839227644364,25217580,4837161877,314.08984375
1100000,425.9543995857239,222.76759419268734,27691741,5276691353,315.7109375
1120000,451.7441680431366,280.38250951887096,28365416,5702975839,323.48828125
1150000,474.79867672920227,470.2333997927436,29322844,5657241669,323.48828125
1170000,492.42860198020935,411.9132609246412,30029776,5785324946,323.48828125
1180000,505.30714416503906,278.99120478344025,30347059,5961043948,323.48828125
1230000,536.4626686573029,581.1489389143774,31950931,6361903747,323.48828125
1260000,557.262850522995,522.2069725224761,32845390,6334316144,323.48828125
1270000,570.173258304596,278.0702252578131,33132731,6271799336,323.48828125
1310000,630.8104853630066,240.33091067904732,35919749,7217631174,343.7734375
1330000,663.1729419231415,220.68782036768323,36950493,7025158898,343.7734375
1340000,679.9568908214569,214.1927398480594,37601926,7497885713,343.7734375
1360000,712.5034461021423,221.68244650707175,38600085,8002458001,347.06640625
1380000,733.7625243663788,338.81995778327814,39235533,7447155536,351.08203125
1420000,770.4161450862885,394.7495422230052,40427801,7730441574,351.08203125
1470000,805.5481159687042,512.8377243708196,41839073,7826063262,351.08203125
1490000,822.6430418491364,423.5759810043096,42330014,7890440904,351.63671875
1500000,837.5692477226257,245.47430412357343,42577620,7945457124,351.63671875
1600000,1043.613852739334,175.7095265710266,65118984,11766915727,384.04296875
1610000,1142.9657883644104,36.2952163670765,69363129,12489578490,384.04296875
1640000,1261.44602060318,91.41609359924803,76438852,13578434133,384.04296875
1680000,1471.5359449386597,68.90858781443781,91857516,16058313189,419.5625
1690000,1565.5957989692688,38.67749995461523,92204008,16115122676,419.5625
1740000,4872.24981880188,5.460504755473035,111945146,19657512927,427.4765625
1750000,5011.819562673569,25.8652047346221,115826287,20005861794,427.4765625
1760000,5118.795734405518,33.568223108581606,118963936,20531525397,427.4765625
1830000,5481.652680873871,69.8098803028131,143886001,24890997707,473.20703125
1840000,5672.955567121506,19.173782852663823,148444717,25436014936,495.4765625
1880000,5956.802936077118,50.661029739009955,159977717,27357092452,536.28515625
1910000,6236.544095754623,38.650014936895296,171616121,29288228314,562.22265625
1930000,6461.329274177551,32.26191357846351,179549519,30581631762,567.71875
1950000,6698.806876420975,30.516562115915054,187088338,31869925823,580.515625
1980000,6960.9264307022095,41.38569527842591,196495265,33376726157,598.40625
1990000,7139.946293830872,20.36086910300187,199474956,33906795363,601.88671875
2000000,7276.901958703995,26.307783641792753,201453711,34257149399,602.91796875
2010000,7418.076090335846,25.812094311319665,203736208,34601552049,611.33984375
2020000,7567.670032501221,24.352590400837865,205340217,34889820581,614.375
2040000,7731.915937423706,43.97065487512988,208015965,35349827819,614.375
2050000,7875.381789922714,24.75850481580316,209414862,35581483880,614.375
2060000,8007.351372241974,27.46845095887651,209619909,35636909107,614.375
2070000,8129.886118650436,29.722181721906068,209816987,35691011654,614.375
2080000,8250.610020399094,29.76212620662721,210057030,35717053358,614.375
2100000,8403.637410640717,46.887031064641555,210412643,35771502610,614.375
2170000,8633.686781167984,110.34587898162124,211616811,36100262426,614.375
2190000,8800.836162567139,43.18292978161452,211967187,36185809153,614.375
2210000,8942.707519054413,50.623326496805745,212413943,36317653200,614.375
2230000,9130.174233675003,38.646860668908595,212889932,36417479261,614.375
2270000,9447.057792186737,45.745510016617736,213709036,36703458360,614.375
2300000,9587.376152276993,76.86093247571351,214311040,36858135915,614.375
2380000,9813.716223239899,127.50724994130522,217117664,37365637437,624.359375
2390000,9937.33151435852,29.705062915528234,217326060,37416654951,624.359375
2450000,10118.28918337822,119.95623129759132,218990963,37872533966,624.359375
2460000,10247.235540151596,28.158996429666416,219183075,37740066956,624.359375
2470000,10371.873480796814,28.86761431851408,219382284,37791859727,624.359375
2490000,10530.415898799896,45.32540937946521,219741236,37875315926,624.359375
2540000,10744.785962820053,84.27016189304015,220723664,38094383701,624.359375
2600000,10922.63868880272,121.97732635323426,221854590,38304375155,624.359375
2620000,11062.37414765358,52.17000795610944,222230676,38395474579,624.359375
2640000,11197.769148111343,53.51009989663592,222568414,38448814237,624.359375
2660000,11330.134600639343,54.37219351837735,222934081,38503307255,624.359375
2670000,11478.581231594086,24.15009338334512,223103982,38557016992,624.359375
2690000,11617.076786756516,52.420454876586874,223434949,38610067439,624.359375
2730000,11757.954659461975,102.39365290643669,224015722,38748670050,624.359375
2770000,11908.503723859787,95.85579331046141,224667378,38859009208,624.359375
2790000,12065.094549179077,45.88391424178088,224999125,38911336758,624.359375
2810000,12207.63175034523,50.61836447587889,225536716,39013448195,624.359375
2830000,12352.896550655365,49.88820405582032,225917882,39114987550,624.359375
2840000,12479.599997282028,28.278630892792155,226117963,39165432636,624.359375
2850000,12608.448548555374,28.10276067689907,226305806,39165432636,624.359375
2890000,12771.679173469543,88.82524347146212,227072820,39343916842,624.359375
2980000,12983.972889661789,153.2923375392338,229818606,39793808264,624.359375
3000000,13135.796701192856,47.55512279127974,230220864,39884101547,624.359375
3020000,13304.832662582397,42.58857074448187,232837011,40278279747,656.171875
3060000,13526.514600515366,65.15190247194272,235343611,41032636603,656.171875
