height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb
10000,0.09560394287109375,33209.92738009736,19992,0,307.51953125
80000,0.856562614440918,31649.550625812266,159998,0,307.51953125
90000,1.0594570636749268,17201.061996401884,179998,0,307.51953125
110000,1.3781859874725342,21441.417736971947,219998,0,307.51953125
130000,1.7343738079071045,19388.64723553509,259994,0,307.51953125
140000,1.9909710884094238,13616.668084556797,279998,0,307.51953125
170000,2.511367082595825,19663.87157917789,340000,41871041,307.51953125
180000,2.8193037509918213,10865.870626674307,360000,43095172,307.51953125
200000,3.268688917160034,15018.297238306546,399996,43095172,307.51953125
240000,5.784972906112671,5273.252167980853,340730,75290007,307.51953125
270000,7.723924875259399,5126.996520896141,381666,75290007,307.51953125
300000,11.762164831161499,2489.9461423296775,558227,158152047,307.51953125
400000,23.382437467575073,2977.46886691623,1115890,350844338,307.51953125
430000,27.328455209732056,2702.217956620581,1294096,534609413,307.51953125
490000,37.19020080566406,2173.955897710811,1619259,563011736,307.51953125
570000,57.58691120147705,1405.226599966027,2337329,697033222,307.51953125
610000,69.15117955207825,1239.3347824079954,3039128,877576785,307.51953125
620000,73.8240339756012,778.1111223359605,3240076,852699018,307.51953125
640000,81.6646454334259,918.168186081406,3678861,956888012,307.51953125
650000,87.05057549476624,668.7795717688197,3889403,1196675042,307.51953125
670000,96.08230137825012,791.7645079415964,4279100,1284662872,307.51953125
680000,101.66018199920654,647.3785018691981,4516452,1203166135,307.51953125
720000,121.44370889663696,725.3509485138288,5491973,1414380029,307.51953125
730000,127.82852745056152,564.3073439863599,5753301,1468470061,307.51953125
770000,152.07244038581848,595.6134242257768,6809929,1848856035,307.51953125
820000,186.929625749588,516.2206819688579,7985405,2163918959,307.51953125
840000,205.29704809188843,393.4139404721166,8394920,2478896487,307.51953125
850000,213.71058750152588,425.1480650227485,8629420,2348060685,307.51953125
860000,222.33621168136597,426.7517252378416,8845449,2317670571,307.51953125
880000,236.02968788146973,527.9886490725573,9267699,2384117230,307.51953125
890000,244.26044368743896,437.86987306636536,9513225,2438244651,307.51953125
980000,299.6863193511963,583.9330387190129,11722651,3016012491,307.51953125
990000,310.04318261146545,350.2025573625018,11970038,3403374071,307.51953125
