height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb,avg_ops_per_block,ops_per_sec
10000,4.363117694854736,727.690661139891,19992,6475776,87.84375,6.3,4582.0
80000,24.19000220298767,1214.7142931165413,159998,52932608,87.84375,5.9,7208.3
90000,26.523669242858887,1495.5004036019623,179998,59613184,87.84375,5.7,8569.5
110000,31.42453622817993,1394.4471499571457,219998,72908800,87.84375,5.7,8016.4
130000,36.17029047012329,1455.1954542787348,259994,86245376,87.84375,5.8,8476.1
140000,42.6623318195343,538.1974346662151,279998,92819456,87.84375,5.7,3081.0
170000,50.53733515739441,1299.4280206591807,340000,112889856,87.84375,5.9,7664.1
180000,53.039891719818115,1337.0327169586233,360000,119513088,87.84375,6.0,7991.8
200000,58.072896003723145,1340.9485904040512,399996,132763648,87.84375,5.8,7844.1
240000,80.51494789123535,591.2560966576984,527945,185135104,88.61328125,26.9,15919.1
270000,112.061527967453,315.12132142318416,680718,246112256,88.61328125,30.1,9490.5
300000,188.22823405265808,132.01306078211937,1079253,396361728,88.8125,61.6,8132.2
400000,539.1751475334167,98.58756031458005,2214984,821411840,88.98046875,54.0,5328.6
430000,652.5377976894379,94.06096263032404,2525772,941723648,88.98046875,35.5,3338.2
490000,974.6233077049255,66.56306891598163,3217070,1215836160,89.8515625,58.0,3857.7
570000,1825.7250444889069,33.67635003108297,4878846,1857490944,90.1640625,127.3,4285.5
610000,2454.0190534591675,22.81097670100239,6002781,2272342016,90.1640625,112.6,2568.7
620000,2611.007364988327,23.16095997583003,6311162,2385350656,90.1640625,114.6,2655.3
640000,2998.927422761917,18.557947328935754,6968954,2624688128,90.1640625,124.0,2300.3
650000,3202.3941242694855,17.703142446952267,7315505,2753306624,90.1640625,133.9,2371.3
670000,3533.0603551864624,21.626036563121136,7937059,2981953536,90.3984375,119.9,2592.7
680000,3726.357216835022,18.681110335693383,8289596,3110936576,90.3984375,129.5,2419.3
720000,4634.089165687561,15.808631631992007,9860454,3700047872,90.3984375,147.0,2323.2
730000,4890.413261651993,14.05642332002982,10271585,3853475840,90.3984375,155.7,2188.1
770000,6050.499846696854,12.447346763725918,12057767,4529836032,90.3984375,190.1,2366.0
820000,7853.48655962944,9.980106825486512,14298943,5393707008,90.453125,198.0,1976.6
840000,8672.155000209808,8.826528105660657,15245760,5761019904,90.453125,216.7,1912.9
850000,9000.748701572418,10.885783827160788,15646859,5911932928,90.453125,158.7,1727.2
860000,9348.929872512817,10.57208231581858,16050288,6066794496,90.453125,160.5,1696.5
880000,10075.670573234558,9.948527711217691,16830468,6365724672,90.53125,148.8,1479.9
890000,10418.741535902023,10.505115244898521,17231792,6516166656,90.53125,154.6,1623.7
980000,13974.372364759445,9.102463545238265,21248533,8046751744,90.53125,156.7,1426.4
990000,14408.061137914658,8.363140169879236,21675711,8210001920,90.53125,167.3,1399.4
